 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 210905 Porto Rico do Maranhão
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";361;341;702
"De 5 a 9 anos";367;373;740
"De 10 a 14 anos";434;438;872
"De 15 a 19 anos";470;414;884
"De 20 a 24 anos";377;291;668
"De 25 a 29 anos";251;207;458
"De 30 a 34 anos";202;168;370
"De 35 a 39 anos";187;164;351
"De 40 a 44 anos";159;151;310
"De 45 a 49 anos";143;125;268
"De 50 a 54 anos";114;96;210
"De 55 a 59 anos";102;79;181
"De 60 a 64 anos";87;70;157
"De 65 a 69 anos";76;69;145
"De 70 a 74 anos";50;42;92
"De 75 a 79 anos";26;34;60
"De 80 anos ou mais";36;38;74
"Total";3442;3100;6542
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

