 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211003 Santa Luzia do Paruá
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1278;1250;2528
"De 5 a 9 anos";1311;1286;2597
"De 10 a 14 anos";1312;1310;2622
"De 15 a 19 anos";1338;1309;2647
"De 20 a 24 anos";1262;1201;2463
"De 25 a 29 anos";940;936;1876
"De 30 a 34 anos";664;673;1337
"De 35 a 39 anos";571;576;1147
"De 40 a 44 anos";502;490;992
"De 45 a 49 anos";421;448;869
"De 50 a 54 anos";393;414;807
"De 55 a 59 anos";324;359;683
"De 60 a 64 anos";304;294;598
"De 65 a 69 anos";224;227;451
"De 70 a 74 anos";195;163;358
"De 75 a 79 anos";126;106;232
"De 80 anos ou mais";148;117;265
"Total";11313;11159;22472
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

