 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211065 São Domingos do Azeitão
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";429;417;846
"De 5 a 9 anos";438;444;882
"De 10 a 14 anos";427;405;832
"De 15 a 19 anos";392;353;745
"De 20 a 24 anos";316;274;590
"De 25 a 29 anos";235;208;443
"De 30 a 34 anos";218;191;409
"De 35 a 39 anos";208;186;394
"De 40 a 44 anos";166;157;323
"De 45 a 49 anos";129;125;254
"De 50 a 54 anos";110;113;223
"De 55 a 59 anos";101;97;198
"De 60 a 64 anos";78;83;161
"De 65 a 69 anos";69;66;135
"De 70 a 74 anos";47;43;90
"De 75 a 79 anos";21;31;52
"De 80 anos ou mais";18;29;47
"Total";3402;3222;6624
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

