 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211100 São João Batista
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1165;1157;2322
"De 5 a 9 anos";1189;1153;2342
"De 10 a 14 anos";1245;1174;2419
"De 15 a 19 anos";1281;1227;2508
"De 20 a 24 anos";1039;958;1997
"De 25 a 29 anos";718;678;1396
"De 30 a 34 anos";570;555;1125
"De 35 a 39 anos";496;481;977
"De 40 a 44 anos";430;398;828
"De 45 a 49 anos";380;362;742
"De 50 a 54 anos";311;327;638
"De 55 a 59 anos";276;297;573
"De 60 a 64 anos";268;284;552
"De 65 a 69 anos";242;230;472
"De 70 a 74 anos";161;162;323
"De 75 a 79 anos";111;116;227
"De 80 anos ou mais";123;135;258
"Total";10005;9694;19699
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

