 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211125 São José dos Basílios
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";393;365;758
"De 5 a 9 anos";386;413;799
"De 10 a 14 anos";480;426;906
"De 15 a 19 anos";469;418;887
"De 20 a 24 anos";346;317;663
"De 25 a 29 anos";288;275;563
"De 30 a 34 anos";250;279;529
"De 35 a 39 anos";209;225;434
"De 40 a 44 anos";180;189;369
"De 45 a 49 anos";178;181;359
"De 50 a 54 anos";146;167;313
"De 55 a 59 anos";129;149;278
"De 60 a 64 anos";116;118;234
"De 65 a 69 anos";97;105;202
"De 70 a 74 anos";66;79;145
"De 75 a 79 anos";49;43;92
"De 80 anos ou mais";51;69;120
"Total";3833;3818;7651
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

