 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211176 Senador La Rocque
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1273;1226;2499
"De 5 a 9 anos";1344;1305;2649
"De 10 a 14 anos";1185;1153;2338
"De 15 a 19 anos";1158;1141;2299
"De 20 a 24 anos";1066;1042;2108
"De 25 a 29 anos";857;816;1673
"De 30 a 34 anos";640;586;1226
"De 35 a 39 anos";548;541;1089
"De 40 a 44 anos";460;491;951
"De 45 a 49 anos";413;450;863
"De 50 a 54 anos";373;410;783
"De 55 a 59 anos";344;345;689
"De 60 a 64 anos";298;298;596
"De 65 a 69 anos";260;261;521
"De 70 a 74 anos";198;165;363
"De 75 a 79 anos";140;104;244
"De 80 anos ou mais";111;123;234
"Total";10668;10457;21125
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

