 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211223 Trizidela do Vale
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";882;844;1726
"De 5 a 9 anos";965;954;1919
"De 10 a 14 anos";1000;1037;2037
"De 15 a 19 anos";961;975;1936
"De 20 a 24 anos";898;939;1837
"De 25 a 29 anos";875;951;1826
"De 30 a 34 anos";912;959;1871
"De 35 a 39 anos";789;878;1667
"De 40 a 44 anos";683;708;1391
"De 45 a 49 anos";582;590;1172
"De 50 a 54 anos";469;544;1013
"De 55 a 59 anos";384;466;850
"De 60 a 64 anos";322;375;697
"De 65 a 69 anos";274;304;578
"De 70 a 74 anos";209;247;456
"De 75 a 79 anos";152;196;348
"De 80 anos ou mais";197;246;443
"Total";10554;11213;21767
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

