 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211270 Vargem Grande
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2735;2616;5351
"De 5 a 9 anos";2969;2870;5839
"De 10 a 14 anos";2976;3026;6002
"De 15 a 19 anos";3057;3131;6188
"De 20 a 24 anos";2569;2712;5281
"De 25 a 29 anos";2357;2553;4910
"De 30 a 34 anos";2039;2070;4109
"De 35 a 39 anos";1633;1608;3241
"De 40 a 44 anos";1276;1211;2487
"De 45 a 49 anos";1092;1071;2163
"De 50 a 54 anos";895;935;1830
"De 55 a 59 anos";735;778;1513
"De 60 a 64 anos";604;721;1325
"De 65 a 69 anos";503;511;1014
"De 70 a 74 anos";409;394;803
"De 75 a 79 anos";276;273;549
"De 80 anos ou mais";265;306;571
"Total";26390;26786;53176
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

