 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 211290 Vitória do Mearim
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1989;1963;3952
"De 5 a 9 anos";2077;2095;4172
"De 10 a 14 anos";2009;1940;3949
"De 15 a 19 anos";2008;1874;3882
"De 20 a 24 anos";1629;1490;3119
"De 25 a 29 anos";1069;1077;2146
"De 30 a 34 anos";856;895;1751
"De 35 a 39 anos";777;803;1580
"De 40 a 44 anos";696;736;1432
"De 45 a 49 anos";663;646;1309
"De 50 a 54 anos";552;539;1091
"De 55 a 59 anos";414;409;823
"De 60 a 64 anos";368;356;724
"De 65 a 69 anos";350;330;680
"De 70 a 74 anos";247;241;488
"De 75 a 79 anos";138;150;288
"De 80 anos ou mais";151;177;328
"Total";15993;15721;31714
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

