 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220010 Agricolândia
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";225;222;447
"De 5 a 9 anos";238;245;483
"De 10 a 14 anos";260;276;536
"De 15 a 19 anos";255;252;507
"De 20 a 24 anos";226;235;461
"De 25 a 29 anos";204;197;401
"De 30 a 34 anos";174;180;354
"De 35 a 39 anos";133;166;299
"De 40 a 44 anos";143;152;295
"De 45 a 49 anos";118;129;247
"De 50 a 54 anos";117;124;241
"De 55 a 59 anos";109;133;242
"De 60 a 64 anos";95;120;215
"De 65 a 69 anos";86;98;184
"De 70 a 74 anos";70;74;144
"De 75 a 79 anos";43;48;91
"De 80 anos ou mais";46;66;112
"Total";2542;2717;5259
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

