 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220095 Aroeiras do Itaim
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";82;79;161
"De 5 a 9 anos";108;84;192
"De 10 a 14 anos";120;120;240
"De 15 a 19 anos";128;94;222
"De 20 a 24 anos";121;88;209
"De 25 a 29 anos";102;98;200
"De 30 a 34 anos";87;100;187
"De 35 a 39 anos";90;90;180
"De 40 a 44 anos";91;91;182
"De 45 a 49 anos";77;72;149
"De 50 a 54 anos";57;56;113
"De 55 a 59 anos";53;51;104
"De 60 a 64 anos";46;59;105
"De 65 a 69 anos";41;52;93
"De 70 a 74 anos";40;37;77
"De 75 a 79 anos";21;17;38
"De 80 anos ou mais";24;22;46
"Total";1288;1210;2498
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

