 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220100 Arraial
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";318;301;619
"De 5 a 9 anos";335;326;661
"De 10 a 14 anos";289;326;615
"De 15 a 19 anos";287;259;546
"De 20 a 24 anos";208;188;396
"De 25 a 29 anos";145;169;314
"De 30 a 34 anos";145;165;310
"De 35 a 39 anos";139;144;283
"De 40 a 44 anos";120;126;246
"De 45 a 49 anos";107;110;217
"De 50 a 54 anos";84;94;178
"De 55 a 59 anos";74;85;159
"De 60 a 64 anos";64;82;146
"De 65 a 69 anos";53;67;120
"De 70 a 74 anos";36;46;82
"De 75 a 79 anos";28;28;56
"De 80 anos ou mais";33;31;64
"Total";2465;2547;5012
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

