 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220105 Assunção do Piauí
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";498;479;977
"De 5 a 9 anos";472;438;910
"De 10 a 14 anos";473;493;966
"De 15 a 19 anos";450;395;845
"De 20 a 24 anos";354;360;714
"De 25 a 29 anos";243;247;490
"De 30 a 34 anos";206;187;393
"De 35 a 39 anos";157;197;354
"De 40 a 44 anos";141;156;297
"De 45 a 49 anos";132;124;256
"De 50 a 54 anos";102;116;218
"De 55 a 59 anos";102;98;200
"De 60 a 64 anos";97;83;180
"De 65 a 69 anos";50;51;101
"De 70 a 74 anos";50;36;86
"De 75 a 79 anos";25;33;58
"De 80 anos ou mais";40;42;82
"Total";3592;3535;7127
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

