 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220157 Belém do Piauí
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";156;138;294
"De 5 a 9 anos";138;142;280
"De 10 a 14 anos";143;132;275
"De 15 a 19 anos";151;150;301
"De 20 a 24 anos";151;121;272
"De 25 a 29 anos";107;93;200
"De 30 a 34 anos";109;96;205
"De 35 a 39 anos";88;86;174
"De 40 a 44 anos";65;67;132
"De 45 a 49 anos";51;51;102
"De 50 a 54 anos";52;54;106
"De 55 a 59 anos";44;51;95
"De 60 a 64 anos";43;45;88
"De 65 a 69 anos";36;35;71
"De 70 a 74 anos";24;27;51
"De 75 a 79 anos";18;19;37
"De 80 anos ou mais";24;23;47
"Total";1400;1330;2730
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

