 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220198 Brejo do Piauí
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";152;175;327
"De 5 a 9 anos";179;222;401
"De 10 a 14 anos";229;212;441
"De 15 a 19 anos";184;173;357
"De 20 a 24 anos";160;143;303
"De 25 a 29 anos";162;159;321
"De 30 a 34 anos";165;149;314
"De 35 a 39 anos";135;129;264
"De 40 a 44 anos";132;102;234
"De 45 a 49 anos";107;112;219
"De 50 a 54 anos";81;82;163
"De 55 a 59 anos";71;75;146
"De 60 a 64 anos";72;68;140
"De 65 a 69 anos";61;63;124
"De 70 a 74 anos";44;41;85
"De 75 a 79 anos";30;25;55
"De 80 anos ou mais";25;23;48
"Total";1989;1953;3942
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

