 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220200 Buriti dos Lopes
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1110;1091;2201
"De 5 a 9 anos";1154;1090;2244
"De 10 a 14 anos";1368;1333;2701
"De 15 a 19 anos";1235;1069;2304
"De 20 a 24 anos";864;759;1623
"De 25 a 29 anos";635;589;1224
"De 30 a 34 anos";492;508;1000
"De 35 a 39 anos";491;475;966
"De 40 a 44 anos";416;408;824
"De 45 a 49 anos";390;386;776
"De 50 a 54 anos";322;361;683
"De 55 a 59 anos";260;293;553
"De 60 a 64 anos";239;224;463
"De 65 a 69 anos";189;194;383
"De 70 a 74 anos";153;151;304
"De 75 a 79 anos";88;82;170
"De 80 anos ou mais";139;114;253
"Total";9545;9127;18672
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

