 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220230 Canto do Buriti
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";842;827;1669
"De 5 a 9 anos";1053;1038;2091
"De 10 a 14 anos";1019;964;1983
"De 15 a 19 anos";966;951;1917
"De 20 a 24 anos";960;940;1900
"De 25 a 29 anos";851;838;1689
"De 30 a 34 anos";722;723;1445
"De 35 a 39 anos";628;625;1253
"De 40 a 44 anos";609;590;1199
"De 45 a 49 anos";514;545;1059
"De 50 a 54 anos";420;454;874
"De 55 a 59 anos";382;419;801
"De 60 a 64 anos";326;350;676
"De 65 a 69 anos";269;277;546
"De 70 a 74 anos";193;213;406
"De 75 a 79 anos";142;162;304
"De 80 anos ou mais";148;196;344
"Total";10044;10112;20156
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

