 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220265 Caxingó
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";255;257;512
"De 5 a 9 anos";299;313;612
"De 10 a 14 anos";312;283;595
"De 15 a 19 anos";310;257;567
"De 20 a 24 anos";269;217;486
"De 25 a 29 anos";224;167;391
"De 30 a 34 anos";176;154;330
"De 35 a 39 anos";156;124;280
"De 40 a 44 anos";128;109;237
"De 45 a 49 anos";107;100;207
"De 50 a 54 anos";92;88;180
"De 55 a 59 anos";82;77;159
"De 60 a 64 anos";78;48;126
"De 65 a 69 anos";58;38;96
"De 70 a 74 anos";40;33;73
"De 75 a 79 anos";27;24;51
"De 80 anos ou mais";28;23;51
"Total";2641;2312;4953
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

