 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220277 Colônia do Piauí
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";379;360;739
"De 5 a 9 anos";444;400;844
"De 10 a 14 anos";439;419;858
"De 15 a 19 anos";479;453;932
"De 20 a 24 anos";396;362;758
"De 25 a 29 anos";293;278;571
"De 30 a 34 anos";240;214;454
"De 35 a 39 anos";203;220;423
"De 40 a 44 anos";177;203;380
"De 45 a 49 anos";177;175;352
"De 50 a 54 anos";133;159;292
"De 55 a 59 anos";108;129;237
"De 60 a 64 anos";101;115;216
"De 65 a 69 anos";80;90;170
"De 70 a 74 anos";53;65;118
"De 75 a 79 anos";50;45;95
"De 80 anos ou mais";42;48;90
"Total";3794;3735;7529
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

