 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220550 José de Freitas
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1876;1802;3678
"De 5 a 9 anos";1890;1809;3699
"De 10 a 14 anos";1920;1885;3805
"De 15 a 19 anos";2111;2167;4278
"De 20 a 24 anos";1951;1874;3825
"De 25 a 29 anos";1501;1491;2992
"De 30 a 34 anos";1182;1182;2364
"De 35 a 39 anos";1014;1006;2020
"De 40 a 44 anos";939;928;1867
"De 45 a 49 anos";788;772;1560
"De 50 a 54 anos";674;716;1390
"De 55 a 59 anos";573;615;1188
"De 60 a 64 anos";514;526;1040
"De 65 a 69 anos";411;448;859
"De 70 a 74 anos";317;317;634
"De 75 a 79 anos";235;234;469
"De 80 anos ou mais";252;297;549
"Total";18148;18069;36217
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

