 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220570 Luís Correia
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1228;1169;2397
"De 5 a 9 anos";1333;1250;2583
"De 10 a 14 anos";1460;1373;2833
"De 15 a 19 anos";1533;1410;2943
"De 20 a 24 anos";1410;1381;2791
"De 25 a 29 anos";1371;1284;2655
"De 30 a 34 anos";1244;1188;2432
"De 35 a 39 anos";1124;1075;2199
"De 40 a 44 anos";969;879;1848
"De 45 a 49 anos";816;762;1578
"De 50 a 54 anos";665;640;1305
"De 55 a 59 anos";536;516;1052
"De 60 a 64 anos";453;444;897
"De 65 a 69 anos";393;393;786
"De 70 a 74 anos";257;275;532
"De 75 a 79 anos";176;222;398
"De 80 anos ou mais";178;229;407
"Total";15146;14490;29636
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

