 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220610 Matias Olímpio
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";541;513;1054
"De 5 a 9 anos";530;498;1028
"De 10 a 14 anos";533;516;1049
"De 15 a 19 anos";504;519;1023
"De 20 a 24 anos";516;494;1010
"De 25 a 29 anos";468;473;941
"De 30 a 34 anos";402;441;843
"De 35 a 39 anos";372;377;749
"De 40 a 44 anos";313;306;619
"De 45 a 49 anos";262;246;508
"De 50 a 54 anos";232;251;483
"De 55 a 59 anos";189;219;408
"De 60 a 64 anos";152;189;341
"De 65 a 69 anos";141;169;310
"De 70 a 74 anos";114;115;229
"De 75 a 79 anos";69;84;153
"De 80 anos ou mais";79;86;165
"Total";5417;5496;10913
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

