 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220650 Monsenhor Hipólito
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";268;251;519
"De 5 a 9 anos";315;282;597
"De 10 a 14 anos";351;334;685
"De 15 a 19 anos";337;312;649
"De 20 a 24 anos";328;303;631
"De 25 a 29 anos";334;328;662
"De 30 a 34 anos";283;292;575
"De 35 a 39 anos";270;269;539
"De 40 a 44 anos";219;227;446
"De 45 a 49 anos";219;245;464
"De 50 a 54 anos";212;246;458
"De 55 a 59 anos";178;183;361
"De 60 a 64 anos";151;157;308
"De 65 a 69 anos";121;135;256
"De 70 a 74 anos";91;111;202
"De 75 a 79 anos";65;75;140
"De 80 anos ou mais";75;82;157
"Total";3817;3832;7649
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

