 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220669 Murici dos Portelas
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";479;527;1006
"De 5 a 9 anos";496;450;946
"De 10 a 14 anos";514;449;963
"De 15 a 19 anos";501;409;910
"De 20 a 24 anos";384;304;688
"De 25 a 29 anos";274;201;475
"De 30 a 34 anos";208;186;394
"De 35 a 39 anos";169;161;330
"De 40 a 44 anos";166;145;311
"De 45 a 49 anos";141;141;282
"De 50 a 54 anos";142;104;246
"De 55 a 59 anos";108;94;202
"De 60 a 64 anos";83;75;158
"De 65 a 69 anos";67;55;122
"De 70 a 74 anos";42;32;74
"De 75 a 79 anos";29;25;54
"De 80 anos ou mais";41;31;72
"Total";3844;3389;7233
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

