 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220675 Nossa Senhora de Nazaré
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";200;195;395
"De 5 a 9 anos";198;188;386
"De 10 a 14 anos";216;203;419
"De 15 a 19 anos";253;229;482
"De 20 a 24 anos";212;207;419
"De 25 a 29 anos";167;170;337
"De 30 a 34 anos";139;128;267
"De 35 a 39 anos";121;117;238
"De 40 a 44 anos";110;112;222
"De 45 a 49 anos";98;98;196
"De 50 a 54 anos";97;93;190
"De 55 a 59 anos";87;88;175
"De 60 a 64 anos";81;74;155
"De 65 a 69 anos";69;66;135
"De 70 a 74 anos";40;44;84
"De 75 a 79 anos";33;28;61
"De 80 anos ou mais";34;38;72
"Total";2155;2078;4233
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

