 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220690 Novo Oriente do Piauí
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";258;238;496
"De 5 a 9 anos";333;311;644
"De 10 a 14 anos";331;312;643
"De 15 a 19 anos";333;304;637
"De 20 a 24 anos";323;295;618
"De 25 a 29 anos";275;269;544
"De 30 a 34 anos";217;228;445
"De 35 a 39 anos";188;195;383
"De 40 a 44 anos";195;189;384
"De 45 a 49 anos";169;196;365
"De 50 a 54 anos";134;184;318
"De 55 a 59 anos";137;161;298
"De 60 a 64 anos";118;133;251
"De 65 a 69 anos";102;116;218
"De 70 a 74 anos";89;106;195
"De 75 a 79 anos";60;67;127
"De 80 anos ou mais";62;68;130
"Total";3324;3372;6696
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

