 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220740 Palmeira do Piauí
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";238;254;492
"De 5 a 9 anos";255;253;508
"De 10 a 14 anos";327;271;598
"De 15 a 19 anos";271;261;532
"De 20 a 24 anos";227;201;428
"De 25 a 29 anos";220;189;409
"De 30 a 34 anos";192;174;366
"De 35 a 39 anos";154;144;298
"De 40 a 44 anos";151;144;295
"De 45 a 49 anos";146;125;271
"De 50 a 54 anos";131;88;219
"De 55 a 59 anos";74;101;175
"De 60 a 64 anos";74;72;146
"De 65 a 69 anos";64;68;132
"De 70 a 74 anos";47;55;102
"De 75 a 79 anos";31;40;71
"De 80 anos ou mais";31;39;70
"Total";2633;2479;5112
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

