 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220755 Paquetá
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";211;206;417
"De 5 a 9 anos";237;228;465
"De 10 a 14 anos";214;196;410
"De 15 a 19 anos";249;217;466
"De 20 a 24 anos";225;199;424
"De 25 a 29 anos";189;187;376
"De 30 a 34 anos";171;147;318
"De 35 a 39 anos";145;130;275
"De 40 a 44 anos";137;117;254
"De 45 a 49 anos";96;111;207
"De 50 a 54 anos";81;89;170
"De 55 a 59 anos";82;87;169
"De 60 a 64 anos";72;68;140
"De 65 a 69 anos";66;45;111
"De 70 a 74 anos";47;29;76
"De 75 a 79 anos";31;22;53
"De 80 anos ou mais";29;23;52
"Total";2282;2101;4383
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

