 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220940 Santo Antônio de Lisboa
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";260;250;510
"De 5 a 9 anos";293;257;550
"De 10 a 14 anos";255;296;551
"De 15 a 19 anos";317;290;607
"De 20 a 24 anos";251;252;503
"De 25 a 29 anos";215;205;420
"De 30 a 34 anos";178;201;379
"De 35 a 39 anos";192;203;395
"De 40 a 44 anos";206;204;410
"De 45 a 49 anos";152;153;305
"De 50 a 54 anos";122;141;263
"De 55 a 59 anos";124;134;258
"De 60 a 64 anos";106;115;221
"De 65 a 69 anos";89;67;156
"De 70 a 74 anos";42;59;101
"De 75 a 79 anos";39;41;80
"De 80 anos ou mais";40;45;85
"Total";2881;2913;5794
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

