 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220965 São Francisco de Assis do Piauí
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";250;238;488
"De 5 a 9 anos";262;230;492
"De 10 a 14 anos";273;250;523
"De 15 a 19 anos";303;281;584
"De 20 a 24 anos";264;253;517
"De 25 a 29 anos";219;223;442
"De 30 a 34 anos";218;219;437
"De 35 a 39 anos";222;197;419
"De 40 a 44 anos";176;182;358
"De 45 a 49 anos";153;170;323
"De 50 a 54 anos";160;143;303
"De 55 a 59 anos";129;119;248
"De 60 a 64 anos";84;99;183
"De 65 a 69 anos";66;69;135
"De 70 a 74 anos";45;59;104
"De 75 a 79 anos";29;44;73
"De 80 anos ou mais";30;47;77
"Total";2883;2823;5706
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

