 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 220995 São João da Varjota
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";216;206;422
"De 5 a 9 anos";210;203;413
"De 10 a 14 anos";214;204;418
"De 15 a 19 anos";201;205;406
"De 20 a 24 anos";204;220;424
"De 25 a 29 anos";193;224;417
"De 30 a 34 anos";150;192;342
"De 35 a 39 anos";170;189;359
"De 40 a 44 anos";172;178;350
"De 45 a 49 anos";118;139;257
"De 50 a 54 anos";104;124;228
"De 55 a 59 anos";95;93;188
"De 60 a 64 anos";79;86;165
"De 65 a 69 anos";64;82;146
"De 70 a 74 anos";50;63;113
"De 75 a 79 anos";37;49;86
"De 80 anos ou mais";38;68;106
"Total";2315;2525;4840
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

