 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 221062 Sebastião Barros
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";202;198;400
"De 5 a 9 anos";203;180;383
"De 10 a 14 anos";230;196;426
"De 15 a 19 anos";177;174;351
"De 20 a 24 anos";163;141;304
"De 25 a 29 anos";167;130;297
"De 30 a 34 anos";138;115;253
"De 35 a 39 anos";112;101;213
"De 40 a 44 anos";113;91;204
"De 45 a 49 anos";105;93;198
"De 50 a 54 anos";87;66;153
"De 55 a 59 anos";67;50;117
"De 60 a 64 anos";58;61;119
"De 65 a 69 anos";35;42;77
"De 70 a 74 anos";31;26;57
"De 75 a 79 anos";20;20;40
"De 80 anos ou mais";22;31;53
"Total";1930;1715;3645
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

