 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 221170 Wall Ferraz
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";175;168;343
"De 5 a 9 anos";174;158;332
"De 10 a 14 anos";186;169;355
"De 15 a 19 anos";192;198;390
"De 20 a 24 anos";165;161;326
"De 25 a 29 anos";159;151;310
"De 30 a 34 anos";157;176;333
"De 35 a 39 anos";158;164;322
"De 40 a 44 anos";164;173;337
"De 45 a 49 anos";154;151;305
"De 50 a 54 anos";136;137;273
"De 55 a 59 anos";125;117;242
"De 60 a 64 anos";98;101;199
"De 65 a 69 anos";69;76;145
"De 70 a 74 anos";55;57;112
"De 75 a 79 anos";37;32;69
"De 80 anos ou mais";33;36;69
"Total";2237;2225;4462
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

