 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230205 Barroquinha
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";574;601;1175
"De 5 a 9 anos";807;751;1558
"De 10 a 14 anos";923;876;1799
"De 15 a 19 anos";857;744;1601
"De 20 a 24 anos";710;672;1382
"De 25 a 29 anos";564;587;1151
"De 30 a 34 anos";542;528;1070
"De 35 a 39 anos";457;436;893
"De 40 a 44 anos";376;379;755
"De 45 a 49 anos";325;304;629
"De 50 a 54 anos";267;292;559
"De 55 a 59 anos";265;285;550
"De 60 a 64 anos";249;234;483
"De 65 a 69 anos";189;206;395
"De 70 a 74 anos";146;152;298
"De 75 a 79 anos";103;97;200
"De 80 anos ou mais";106;123;229
"Total";7460;7267;14727
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

