 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230270 Campos Sales
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1204;1097;2301
"De 5 a 9 anos";1276;1237;2513
"De 10 a 14 anos";1454;1443;2897
"De 15 a 19 anos";1335;1349;2684
"De 20 a 24 anos";1194;1264;2458
"De 25 a 29 anos";923;1033;1956
"De 30 a 34 anos";864;984;1848
"De 35 a 39 anos";746;811;1557
"De 40 a 44 anos";718;887;1605
"De 45 a 49 anos";642;729;1371
"De 50 a 54 anos";516;653;1169
"De 55 a 59 anos";462;610;1072
"De 60 a 64 anos";417;503;920
"De 65 a 69 anos";381;451;832
"De 70 a 74 anos";346;389;735
"De 75 a 79 anos";191;241;432
"De 80 anos ou mais";305;388;693
"Total";12974;14069;27043
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

