 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230340 Carnaubal
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";806;754;1560
"De 5 a 9 anos";949;891;1840
"De 10 a 14 anos";988;977;1965
"De 15 a 19 anos";922;905;1827
"De 20 a 24 anos";727;732;1459
"De 25 a 29 anos";573;604;1177
"De 30 a 34 anos";528;542;1070
"De 35 a 39 anos";485;494;979
"De 40 a 44 anos";455;476;931
"De 45 a 49 anos";408;437;845
"De 50 a 54 anos";338;347;685
"De 55 a 59 anos";289;283;572
"De 60 a 64 anos";234;277;511
"De 65 a 69 anos";214;249;463
"De 70 a 74 anos";185;194;379
"De 75 a 79 anos";120;144;264
"De 80 anos ou mais";149;147;296
"Total";8370;8453;16823
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

