 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230350 Cascavel
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2946;2899;5845
"De 5 a 9 anos";3407;3373;6780
"De 10 a 14 anos";3321;3270;6591
"De 15 a 19 anos";3226;3236;6462
"De 20 a 24 anos";2994;2898;5892
"De 25 a 29 anos";2529;2544;5073
"De 30 a 34 anos";2219;2326;4545
"De 35 a 39 anos";2045;2055;4100
"De 40 a 44 anos";1694;1669;3363
"De 45 a 49 anos";1294;1359;2653
"De 50 a 54 anos";1151;1170;2321
"De 55 a 59 anos";938;989;1927
"De 60 a 64 anos";782;850;1632
"De 65 a 69 anos";680;758;1438
"De 70 a 74 anos";516;613;1129
"De 75 a 79 anos";438;522;960
"De 80 anos ou mais";451;428;879
"Total";30631;30959;61590
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

