 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230365 Catunda
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";512;493;1005
"De 5 a 9 anos";558;513;1071
"De 10 a 14 anos";572;490;1062
"De 15 a 19 anos";551;535;1086
"De 20 a 24 anos";447;415;862
"De 25 a 29 anos";315;346;661
"De 30 a 34 anos";282;299;581
"De 35 a 39 anos";282;291;573
"De 40 a 44 anos";295;269;564
"De 45 a 49 anos";227;214;441
"De 50 a 54 anos";208;207;415
"De 55 a 59 anos";179;173;352
"De 60 a 64 anos";142;146;288
"De 65 a 69 anos";121;137;258
"De 70 a 74 anos";86;102;188
"De 75 a 79 anos";76;105;181
"De 80 anos ou mais";111;101;212
"Total";4964;4836;9800
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

