 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230427 Ererê
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";246;235;481
"De 5 a 9 anos";246;232;478
"De 10 a 14 anos";250;235;485
"De 15 a 19 anos";263;237;500
"De 20 a 24 anos";276;297;573
"De 25 a 29 anos";308;295;603
"De 30 a 34 anos";341;284;625
"De 35 a 39 anos";304;266;570
"De 40 a 44 anos";241;295;536
"De 45 a 49 anos";222;195;417
"De 50 a 54 anos";193;205;398
"De 55 a 59 anos";173;199;372
"De 60 a 64 anos";153;155;308
"De 65 a 69 anos";131;152;283
"De 70 a 74 anos";120;110;230
"De 75 a 79 anos";79;84;163
"De 80 anos ou mais";93;110;203
"Total";3639;3586;7225
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

