 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230600 Iracema
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";487;465;952
"De 5 a 9 anos";476;459;935
"De 10 a 14 anos";500;491;991
"De 15 a 19 anos";544;521;1065
"De 20 a 24 anos";538;556;1094
"De 25 a 29 anos";575;564;1139
"De 30 a 34 anos";630;605;1235
"De 35 a 39 anos";574;541;1115
"De 40 a 44 anos";452;500;952
"De 45 a 49 anos";420;395;815
"De 50 a 54 anos";374;441;815
"De 55 a 59 anos";369;380;749
"De 60 a 64 anos";291;318;609
"De 65 a 69 anos";261;308;569
"De 70 a 74 anos";224;248;472
"De 75 a 79 anos";145;167;312
"De 80 anos ou mais";205;273;478
"Total";7065;7232;14297
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

