 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230620 Itaiçaba
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";224;214;438
"De 5 a 9 anos";229;210;439
"De 10 a 14 anos";252;217;469
"De 15 a 19 anos";280;236;516
"De 20 a 24 anos";348;296;644
"De 25 a 29 anos";358;343;701
"De 30 a 34 anos";340;347;687
"De 35 a 39 anos";309;320;629
"De 40 a 44 anos";256;263;519
"De 45 a 49 anos";250;253;503
"De 50 a 54 anos";234;258;492
"De 55 a 59 anos";197;244;441
"De 60 a 64 anos";158;186;344
"De 65 a 69 anos";139;170;309
"De 70 a 74 anos";112;154;266
"De 75 a 79 anos";82;98;180
"De 80 anos ou mais";104;146;250
"Total";3872;3955;7827
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

