 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230660 Itatira
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";932;904;1836
"De 5 a 9 anos";1169;1100;2269
"De 10 a 14 anos";1119;1107;2226
"De 15 a 19 anos";1053;1029;2082
"De 20 a 24 anos";828;750;1578
"De 25 a 29 anos";667;593;1260
"De 30 a 34 anos";490;481;971
"De 35 a 39 anos";490;453;943
"De 40 a 44 anos";479;434;913
"De 45 a 49 anos";348;388;736
"De 50 a 54 anos";350;358;708
"De 55 a 59 anos";311;289;600
"De 60 a 64 anos";252;232;484
"De 65 a 69 anos";245;223;468
"De 70 a 74 anos";169;176;345
"De 75 a 79 anos";137;142;279
"De 80 anos ou mais";170;182;352
"Total";9209;8841;18050
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

