 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 230765 Maracanaú
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";9664;9316;18980
"De 5 a 9 anos";11083;10651;21734
"De 10 a 14 anos";11223;11029;22252
"De 15 a 19 anos";11407;11425;22832
"De 20 a 24 anos";9738;9779;19517
"De 25 a 29 anos";8062;8443;16505
"De 30 a 34 anos";7328;8099;15427
"De 35 a 39 anos";6814;7420;14234
"De 40 a 44 anos";5830;6336;12166
"De 45 a 49 anos";4390;4843;9233
"De 50 a 54 anos";3340;3739;7079
"De 55 a 59 anos";2524;2965;5489
"De 60 a 64 anos";1755;1975;3730
"De 65 a 69 anos";1389;1728;3117
"De 70 a 74 anos";861;1166;2027
"De 75 a 79 anos";668;955;1623
"De 80 anos ou mais";576;757;1333
"Total";96652;100626;197278
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

