 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 231050 Pedra Branca
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1598;1526;3124
"De 5 a 9 anos";1638;1549;3187
"De 10 a 14 anos";1727;1620;3347
"De 15 a 19 anos";2049;1955;4004
"De 20 a 24 anos";2020;2016;4036
"De 25 a 29 anos";1816;1872;3688
"De 30 a 34 anos";1517;1599;3116
"De 35 a 39 anos";1406;1524;2930
"De 40 a 44 anos";1312;1386;2698
"De 45 a 49 anos";1237;1289;2526
"De 50 a 54 anos";1092;1172;2264
"De 55 a 59 anos";861;989;1850
"De 60 a 64 anos";755;876;1631
"De 65 a 69 anos";725;765;1490
"De 70 a 74 anos";548;578;1126
"De 75 a 79 anos";423;498;921
"De 80 anos ou mais";507;610;1117
"Total";21231;21824;43055
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

