 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 231070 Pentecoste
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2051;1968;4019
"De 5 a 9 anos";1968;1915;3883
"De 10 a 14 anos";2056;1973;4029
"De 15 a 19 anos";1935;1844;3779
"De 20 a 24 anos";1620;1483;3103
"De 25 a 29 anos";1298;1162;2460
"De 30 a 34 anos";1152;1130;2282
"De 35 a 39 anos";1018;1018;2036
"De 40 a 44 anos";783;794;1577
"De 45 a 49 anos";602;622;1224
"De 50 a 54 anos";533;566;1099
"De 55 a 59 anos";461;485;946
"De 60 a 64 anos";460;525;985
"De 65 a 69 anos";361;385;746
"De 70 a 74 anos";302;322;624
"De 75 a 79 anos";248;255;503
"De 80 anos ou mais";257;217;474
"Total";17105;16664;33769
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

