 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 231300 Solonópole
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";590;563;1153
"De 5 a 9 anos";615;591;1206
"De 10 a 14 anos";665;637;1302
"De 15 a 19 anos";757;684;1441
"De 20 a 24 anos";807;773;1580
"De 25 a 29 anos";737;745;1482
"De 30 a 34 anos";653;666;1319
"De 35 a 39 anos";602;606;1208
"De 40 a 44 anos";580;593;1173
"De 45 a 49 anos";552;596;1148
"De 50 a 54 anos";559;593;1152
"De 55 a 59 anos";487;507;994
"De 60 a 64 anos";387;437;824
"De 65 a 69 anos";335;380;715
"De 70 a 74 anos";269;295;564
"De 75 a 79 anos";217;253;470
"De 80 anos ou mais";227;299;526
"Total";9039;9218;18257
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

