 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 240060 Almino Afonso
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";238;237;475
"De 5 a 9 anos";259;252;511
"De 10 a 14 anos";296;265;561
"De 15 a 19 anos";297;256;553
"De 20 a 24 anos";250;219;469
"De 25 a 29 anos";211;200;411
"De 30 a 34 anos";196;189;385
"De 35 a 39 anos";180;180;360
"De 40 a 44 anos";156;151;307
"De 45 a 49 anos";111;119;230
"De 50 a 54 anos";97;115;212
"De 55 a 59 anos";89;94;183
"De 60 a 64 anos";72;79;151
"De 65 a 69 anos";58;75;133
"De 70 a 74 anos";46;49;95
"De 75 a 79 anos";46;52;98
"De 80 anos ou mais";46;44;90
"Total";2648;2576;5224
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

