 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 240610 Jucurutu
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";869;785;1654
"De 5 a 9 anos";860;817;1677
"De 10 a 14 anos";1046;986;2032
"De 15 a 19 anos";1044;1014;2058
"De 20 a 24 anos";836;806;1642
"De 25 a 29 anos";741;634;1375
"De 30 a 34 anos";598;629;1227
"De 35 a 39 anos";572;590;1162
"De 40 a 44 anos";455;487;942
"De 45 a 49 anos";345;365;710
"De 50 a 54 anos";345;368;713
"De 55 a 59 anos";268;307;575
"De 60 a 64 anos";249;276;525
"De 65 a 69 anos";193;205;398
"De 70 a 74 anos";188;217;405
"De 75 a 79 anos";156;175;331
"De 80 anos ou mais";179;198;377
"Total";8944;8859;17803
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

