 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 240725 Major Sales
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";180;168;348
"De 5 a 9 anos";159;149;308
"De 10 a 14 anos";169;146;315
"De 15 a 19 anos";155;174;329
"De 20 a 24 anos";160;160;320
"De 25 a 29 anos";132;144;276
"De 30 a 34 anos";107;112;219
"De 35 a 39 anos";101;98;199
"De 40 a 44 anos";106;109;215
"De 45 a 49 anos";87;110;197
"De 50 a 54 anos";75;90;165
"De 55 a 59 anos";75;82;157
"De 60 a 64 anos";63;66;129
"De 65 a 69 anos";53;54;107
"De 70 a 74 anos";40;40;80
"De 75 a 79 anos";33;27;60
"De 80 anos ou mais";41;41;82
"Total";1736;1770;3506
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

