 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 240780 Monte Alegre
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1081;1017;2098
"De 5 a 9 anos";1229;1160;2389
"De 10 a 14 anos";1183;1152;2335
"De 15 a 19 anos";1112;1063;2175
"De 20 a 24 anos";918;877;1795
"De 25 a 29 anos";799;731;1530
"De 30 a 34 anos";696;677;1373
"De 35 a 39 anos";623;615;1238
"De 40 a 44 anos";522;492;1014
"De 45 a 49 anos";371;392;763
"De 50 a 54 anos";323;341;664
"De 55 a 59 anos";289;330;619
"De 60 a 64 anos";242;295;537
"De 65 a 69 anos";221;248;469
"De 70 a 74 anos";160;176;336
"De 75 a 79 anos";144;162;306
"De 80 anos ou mais";162;164;326
"Total";10075;9892;19967
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

