 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 240950 Pedra Grande
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";152;146;298
"De 5 a 9 anos";144;142;286
"De 10 a 14 anos";152;155;307
"De 15 a 19 anos";175;173;348
"De 20 a 24 anos";165;172;337
"De 25 a 29 anos";184;155;339
"De 30 a 34 anos";135;131;266
"De 35 a 39 anos";114;129;243
"De 40 a 44 anos";114;111;225
"De 45 a 49 anos";83;85;168
"De 50 a 54 anos";60;69;129
"De 55 a 59 anos";56;49;105
"De 60 a 64 anos";50;59;109
"De 65 a 69 anos";39;51;90
"De 70 a 74 anos";27;32;59
"De 75 a 79 anos";16;22;38
"De 80 anos ou mais";17;27;44
"Total";1683;1708;3391
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

