 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 241110 Ruy Barbosa
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";138;120;258
"De 5 a 9 anos";170;189;359
"De 10 a 14 anos";201;198;399
"De 15 a 19 anos";210;222;432
"De 20 a 24 anos";167;143;310
"De 25 a 29 anos";141;112;253
"De 30 a 34 anos";148;113;261
"De 35 a 39 anos";108;116;224
"De 40 a 44 anos";111;102;213
"De 45 a 49 anos";113;81;194
"De 50 a 54 anos";70;71;141
"De 55 a 59 anos";69;72;141
"De 60 a 64 anos";59;74;133
"De 65 a 69 anos";57;63;120
"De 70 a 74 anos";50;51;101
"De 75 a 79 anos";23;36;59
"De 80 anos ou mais";42;37;79
"Total";1877;1800;3677
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

