 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 241142 Santana do Seridó
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";102;97;199
"De 5 a 9 anos";87;109;196
"De 10 a 14 anos";119;128;247
"De 15 a 19 anos";134;136;270
"De 20 a 24 anos";137;131;268
"De 25 a 29 anos";101;101;202
"De 30 a 34 anos";83;83;166
"De 35 a 39 anos";90;90;180
"De 40 a 44 anos";84;78;162
"De 45 a 49 anos";76;60;136
"De 50 a 54 anos";54;44;98
"De 55 a 59 anos";50;52;102
"De 60 a 64 anos";31;46;77
"De 65 a 69 anos";40;32;72
"De 70 a 74 anos";25;23;48
"De 75 a 79 anos";23;23;46
"De 80 anos ou mais";29;32;61
"Total";1265;1265;2530
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

