 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 241220 São José de Mipibu
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1861;1701;3562
"De 5 a 9 anos";1997;1836;3833
"De 10 a 14 anos";2120;2044;4164
"De 15 a 19 anos";2080;2061;4141
"De 20 a 24 anos";1992;1904;3896
"De 25 a 29 anos";1790;1759;3549
"De 30 a 34 anos";1543;1588;3131
"De 35 a 39 anos";1399;1407;2806
"De 40 a 44 anos";1272;1317;2589
"De 45 a 49 anos";1127;1170;2297
"De 50 a 54 anos";898;919;1817
"De 55 a 59 anos";651;707;1358
"De 60 a 64 anos";572;666;1238
"De 65 a 69 anos";487;575;1062
"De 70 a 74 anos";368;436;804
"De 75 a 79 anos";244;294;538
"De 80 anos ou mais";285;387;672
"Total";20686;20771;41457
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

