 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 241310 Senador Elói de Souza
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";273;274;547
"De 5 a 9 anos";320;336;656
"De 10 a 14 anos";318;327;645
"De 15 a 19 anos";301;258;559
"De 20 a 24 anos";244;194;438
"De 25 a 29 anos";200;183;383
"De 30 a 34 anos";180;176;356
"De 35 a 39 anos";178;169;347
"De 40 a 44 anos";149;127;276
"De 45 a 49 anos";102;98;200
"De 50 a 54 anos";98;97;195
"De 55 a 59 anos";87;94;181
"De 60 a 64 anos";64;87;151
"De 65 a 69 anos";67;74;141
"De 70 a 74 anos";51;45;96
"De 75 a 79 anos";47;43;90
"De 80 anos ou mais";54;46;100
"Total";2733;2628;5361
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

