 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 241320 Senador Georgino Avelino
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";221;214;435
"De 5 a 9 anos";214;212;426
"De 10 a 14 anos";198;204;402
"De 15 a 19 anos";196;203;399
"De 20 a 24 anos";203;191;394
"De 25 a 29 anos";149;159;308
"De 30 a 34 anos";126;109;235
"De 35 a 39 anos";112;106;218
"De 40 a 44 anos";86;91;177
"De 45 a 49 anos";87;87;174
"De 50 a 54 anos";52;53;105
"De 55 a 59 anos";67;63;130
"De 60 a 64 anos";46;60;106
"De 65 a 69 anos";40;37;77
"De 70 a 74 anos";15;20;35
"De 75 a 79 anos";21;11;32
"De 80 anos ou mais";27;39;66
"Total";1860;1859;3719
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

