 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 241490 Viçosa
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";78;70;148
"De 5 a 9 anos";93;80;173
"De 10 a 14 anos";88;84;172
"De 15 a 19 anos";84;87;171
"De 20 a 24 anos";66;74;140
"De 25 a 29 anos";58;64;122
"De 30 a 34 anos";62;62;124
"De 35 a 39 anos";57;60;117
"De 40 a 44 anos";44;49;93
"De 45 a 49 anos";30;39;69
"De 50 a 54 anos";28;31;59
"De 55 a 59 anos";26;23;49
"De 60 a 64 anos";24;23;47
"De 65 a 69 anos";18;20;38
"De 70 a 74 anos";12;14;26
"De 75 a 79 anos";13;13;26
"De 80 anos ou mais";11;8;19
"Total";792;801;1593
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

