 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250057 Algodão de Jandaíra
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";131;122;253
"De 5 a 9 anos";140;142;282
"De 10 a 14 anos";155;144;299
"De 15 a 19 anos";144;138;282
"De 20 a 24 anos";104;86;190
"De 25 a 29 anos";71;70;141
"De 30 a 34 anos";51;52;103
"De 35 a 39 anos";48;69;117
"De 40 a 44 anos";54;53;107
"De 45 a 49 anos";42;44;86
"De 50 a 54 anos";51;47;98
"De 55 a 59 anos";31;37;68
"De 60 a 64 anos";37;40;77
"De 65 a 69 anos";30;23;53
"De 70 a 74 anos";10;12;22
"De 75 a 79 anos";17;14;31
"De 80 anos ou mais";24;30;54
"Total";1140;1123;2263
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

