 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250115 Areia de Baraúnas
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";107;104;211
"De 5 a 9 anos";116;125;241
"De 10 a 14 anos";136;119;255
"De 15 a 19 anos";131;126;257
"De 20 a 24 anos";96;97;193
"De 25 a 29 anos";76;74;150
"De 30 a 34 anos";74;74;148
"De 35 a 39 anos";68;67;135
"De 40 a 44 anos";54;49;103
"De 45 a 49 anos";42;40;82
"De 50 a 54 anos";34;36;70
"De 55 a 59 anos";30;31;61
"De 60 a 64 anos";27;30;57
"De 65 a 69 anos";24;23;47
"De 70 a 74 anos";16;17;33
"De 75 a 79 anos";11;19;30
"De 80 anos ou mais";16;21;37
"Total";1058;1052;2110
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

