 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250140 Baía da Traição
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";445;429;874
"De 5 a 9 anos";437;426;863
"De 10 a 14 anos";427;418;845
"De 15 a 19 anos";417;401;818
"De 20 a 24 anos";348;341;689
"De 25 a 29 anos";307;270;577
"De 30 a 34 anos";256;225;481
"De 35 a 39 anos";217;213;430
"De 40 a 44 anos";184;179;363
"De 45 a 49 anos";132;131;263
"De 50 a 54 anos";115;122;237
"De 55 a 59 anos";94;108;202
"De 60 a 64 anos";73;89;162
"De 65 a 69 anos";64;73;137
"De 70 a 74 anos";42;52;94
"De 75 a 79 anos";27;40;67
"De 80 anos ou mais";28;42;70
"Total";3613;3559;7172
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

