 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250350 Cacimba de Dentro
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";763;707;1470
"De 5 a 9 anos";854;829;1683
"De 10 a 14 anos";950;874;1824
"De 15 a 19 anos";930;876;1806
"De 20 a 24 anos";749;763;1512
"De 25 a 29 anos";575;612;1187
"De 30 a 34 anos";502;518;1020
"De 35 a 39 anos";455;476;931
"De 40 a 44 anos";483;504;987
"De 45 a 49 anos";425;473;898
"De 50 a 54 anos";308;354;662
"De 55 a 59 anos";266;310;576
"De 60 a 64 anos";290;359;649
"De 65 a 69 anos";257;305;562
"De 70 a 74 anos";232;317;549
"De 75 a 79 anos";152;174;326
"De 80 anos ou mais";194;254;448
"Total";8385;8705;17090
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

