 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250390 Camalaú
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";240;223;463
"De 5 a 9 anos";246;269;515
"De 10 a 14 anos";298;289;587
"De 15 a 19 anos";271;274;545
"De 20 a 24 anos";246;236;482
"De 25 a 29 anos";202;189;391
"De 30 a 34 anos";221;194;415
"De 35 a 39 anos";204;190;394
"De 40 a 44 anos";173;203;376
"De 45 a 49 anos";163;173;336
"De 50 a 54 anos";137;143;280
"De 55 a 59 anos";102;125;227
"De 60 a 64 anos";123;136;259
"De 65 a 69 anos";83;93;176
"De 70 a 74 anos";83;88;171
"De 75 a 79 anos";47;64;111
"De 80 anos ou mais";67;83;150
"Total";2906;2972;5878
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

