 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250410 Carrapateira
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";93;89;182
"De 5 a 9 anos";97;102;199
"De 10 a 14 anos";110;107;217
"De 15 a 19 anos";139;130;269
"De 20 a 24 anos";126;110;236
"De 25 a 29 anos";121;100;221
"De 30 a 34 anos";120;86;206
"De 35 a 39 anos";91;78;169
"De 40 a 44 anos";82;80;162
"De 45 a 49 anos";89;70;159
"De 50 a 54 anos";64;54;118
"De 55 a 59 anos";51;51;102
"De 60 a 64 anos";45;38;83
"De 65 a 69 anos";34;23;57
"De 70 a 74 anos";27;31;58
"De 75 a 79 anos";22;20;42
"De 80 anos ou mais";20;16;36
"Total";1331;1185;2516
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

