 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 250510 Cuité
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";808;714;1522
"De 5 a 9 anos";880;779;1659
"De 10 a 14 anos";1000;946;1946
"De 15 a 19 anos";925;892;1817
"De 20 a 24 anos";990;990;1980
"De 25 a 29 anos";761;758;1519
"De 30 a 34 anos";672;671;1343
"De 35 a 39 anos";614;706;1320
"De 40 a 44 anos";599;669;1268
"De 45 a 49 anos";552;604;1156
"De 50 a 54 anos";452;461;913
"De 55 a 59 anos";390;456;846
"De 60 a 64 anos";353;394;747
"De 65 a 69 anos";306;347;653
"De 70 a 74 anos";288;348;636
"De 75 a 79 anos";191;223;414
"De 80 anos ou mais";247;386;633
"Total";10028;10344;20372
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

